统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100012,228,166,小汽车,4.13,26.30,13.67,4.94,997.93,3600.00
1,100038,229,133,小汽车,4.17,26.70,20.29,1.10,6.88,1.22
2,100061,383,235,小汽车,4.32,28.15,15.56,4.96,997.84,3600.00
2,100082,384,192,小汽车,4.75,32.50,22.43,1.49,7.82,1.26
2,100112,386,146,小汽车,4.00,25.00,21.52,0.34,7.90,1.32
2,100138,538,242,小汽车,4.83,33.35,15.70,4.99,997.58,3600.00
2,100161,539,218,小汽车,4.04,25.35,21.98,0.99,8.19,1.34
2,100182,541,178,小汽车,4.22,27.25,21.29,0.36,7.16,1.21
2,100212,543,127,小汽车,4.66,31.60,21.60,0.28,6.94,1.16
3,100237,693,234,小汽车,4.04,25.40,13.64,4.92,997.98,3600.00
3,100261,695,202,小汽车,4.96,34.65,22.49,1.18,7.64,1.22
3,100282,696,161,小汽车,4.29,27.95,22.19,0.37,7.56,1.23
3,100315,848,258,小汽车,4.14,26.40,13.67,4.95,997.93,3600.00
3,100335,849,232,小汽车,4.34,28.40,20.67,1.25,7.01,1.22
3,100340,851,228,小汽车,4.89,33.90,22.54,0.44,7.33,1.17
3,100362,853,205,小汽车,4.56,30.60,22.62,0.30,7.44,1.18
4,100370,1003,324,小汽车,4.91,34.05,15.71,5.00,997.55,3600.00
4,100394,1004,297,小汽车,4.41,29.05,23.37,1.47,8.48,1.31
4,100396,1006,297,小汽车,4.72,32.25,24.19,0.48,8.12,1.21
4,100417,1008,262,小汽车,4.63,31.30,23.92,0.32,8.03,1.21
4,100429,1158,379,小汽车,4.86,33.55,15.70,5.00,997.57,3600.00
4,100450,1159,357,小汽车,4.16,26.60,22.51,1.15,8.27,1.32
4,100464,1161,347,小汽车,4.78,32.75,23.25,0.42,7.65,1.18
4,100474,1163,334,小汽车,4.39,28.90,22.70,0.28,7.72,1.22
4,100501,1165,278,小汽车,4.57,30.65,22.59,0.23,7.44,1.19
4,100514,1167,291,小汽车,4.45,29.45,22.36,0.22,7.46,1.20
