统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,500005,179,167,电动车,2.53,26.15,26.07,0.00,101.61,14.03
1,500010,199,175,电动车,2.38,21.05,21.03,0.00,141.29,24.18
1,500013,202,169,电动车,2.52,25.55,21.03,0.00,12.60,2.16
1,500019,216,166,自行车,1.70,13.70,19.95,0.00,84.78,15.30
1,800006,165,156,电动车,2.55,26.55,26.55,0.00,998.73,3600.00
1,800030,299,236,电动车,2.62,29.05,29.05,0.00,998.69,3600.00
2,500022,351,288,自行车,1.79,14.86,19.94,0.00,32.21,5.82
2,500028,357,282,自行车,1.75,14.28,19.60,0.00,30.99,5.69
2,500031,342,258,电动车,2.55,26.65,26.61,0.00,19.99,2.70
2,500034,362,269,自行车,1.81,15.10,19.45,0.00,26.46,4.90
2,500044,366,250,自行车,1.71,13.78,19.32,0.00,23.66,4.41
2,500047,371,248,自行车,1.94,16.88,19.23,0.00,22.23,4.16
2,500054,375,243,自行车,1.74,14.14,19.12,0.00,20.82,3.92
2,500057,379,230,自行车,1.89,16.22,19.00,0.00,19.49,3.69
2,500064,383,226,自行车,1.81,15.16,18.92,0.00,18.76,3.57
2,500066,491,333,电动车,2.45,23.20,21.87,0.00,2.27,0.37
2,500072,509,334,自行车,1.71,13.86,19.95,0.00,5.56,1.00
2,500075,495,317,电动车,2.45,23.25,22.39,0.00,15.64,2.52
2,500088,473,267,电动车,2.62,28.95,28.86,0.00,3.23,0.40
2,500099,505,270,自行车,1.76,14.46,20.00,0.00,60.44,10.88
2,500123,507,194,电动车,2.57,27.30,20.00,0.00,1.02,0.18
2,500138,507,147,电动车,2.43,22.75,22.65,0.00,7.97,1.27
2,800012,322,300,自行车,1.66,13.14,20.00,0.00,13.11,2.36
2,800016,301,270,电动车,2.52,25.80,25.80,0.00,10.25,1.43
2,800029,325,262,自行车,1.84,15.48,20.00,0.00,0.50,0.09
2,800035,307,236,电动车,2.51,25.35,24.93,0.00,41.77,6.03
2,800038,325,251,电动车,2.40,21.70,19.99,0.00,16.67,3.00
2,800042,332,250,自行车,1.90,16.30,19.71,0.00,3.70,0.68
2,800051,310,217,电动车,2.61,28.75,24.90,0.00,16.44,2.38
2,800061,338,233,电动车,2.39,21.30,19.79,0.00,17.39,3.16
2,800072,331,214,自行车,1.65,13.06,19.63,0.00,31.23,5.73
2,800074,345,226,自行车,1.81,15.18,19.72,0.00,21.12,3.86
2,800079,314,186,电动车,2.59,27.90,26.56,0.00,28.45,3.86
2,800086,320,183,电动车,2.56,26.85,26.31,0.00,41.09,5.62
2,800087,470,328,自行车,1.73,14.10,20.00,0.00,99.48,17.91
2,800088,334,192,电动车,2.60,28.40,19.71,0.00,9.94,1.82
2,800099,472,315,自行车,1.71,13.80,20.00,0.00,8.73,1.57
2,800105,475,312,电动车,2.40,21.75,19.96,0.00,1.27,0.23
2,800115,472,293,电动车,2.53,26.05,20.00,0.00,1.06,0.19
2,800118,455,271,电动车,2.51,25.35,25.35,0.00,998.74,3600.00
2,800123,474,279,电动车,2.63,29.25,20.00,0.00,8.27,1.49
2,800133,479,272,电动车,2.50,25.05,20.00,0.00,9.62,1.73
2,800143,477,249,电动车,2.61,28.55,19.96,0.00,0.50,0.09
2,800146,477,244,电动车,2.50,24.95,20.00,0.00,8.40,1.51
2,800152,490,248,自行车,1.89,16.14,19.88,0.00,18.29,3.31
2,800155,479,228,电动车,2.61,28.80,19.96,0.00,0.50,0.09
2,800163,482,215,电动车,2.51,25.25,20.01,0.00,11.37,2.05
2,800168,486,216,电动车,2.54,26.30,20.26,0.00,11.17,1.98
2,800171,492,216,电动车,2.53,25.95,19.89,0.00,7.61,1.38
2,800181,484,194,电动车,2.62,29.05,20.04,0.00,10.07,1.81
