统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,700001,34.90,53.90,19.00,123.64,1.20,25.00
1,1,300,700002,220.10,239.30,19.20,123.96,1.35,25.00
2,301,600,700003,400.10,471.30,71.20,123.96,53.35,25.00
3,601,900,700004,580.20,626.30,46.10,124.32,28.20,25.00
3,601,900,700005,760.10,781.30,21.20,123.64,3.40,25.00
4,901,1200,700006,940.10,959.10,19.00,123.96,1.15,25.00
4,901,1200,700007,1120.10,1139.10,19.00,123.64,1.20,25.00
5,1201,1500,700008,1300.20,1319.20,19.00,124.32,1.10,25.00
6,1501,1800,700009,1480.10,1556.20,76.10,123.96,58.25,25.00
6,1501,1800,700010,1660.10,1711.30,51.20,123.64,33.40,25.00
7,1801,2100,700011,1840.10,1866.20,26.10,123.64,8.30,25.00
7,1801,2100,700012,2020.20,2039.20,19.00,124.32,1.10,25.00
8,2101,2400,700013,2200.20,2219.20,19.00,123.96,1.15,25.00
