统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,700001,34.60,250.30,215.70,722.72,111.63,25.00
2,301,600,700002,219.80,405.30,185.50,723.04,81.38,25.00
2,301,600,700003,399.80,577.50,177.70,723.04,73.58,25.00
3,601,900,700004,579.90,728.60,148.70,723.40,44.53,25.00
3,601,900,700005,759.80,885.60,125.80,722.72,21.73,25.00
4,901,1200,700006,939.80,1180.30,240.50,723.04,136.38,25.00
5,1201,1500,700007,1119.90,1335.40,215.50,722.72,111.43,25.00
5,1201,1500,700008,1299.80,1490.40,190.60,723.98,86.35,25.00
6,1501,1800,700009,1479.80,1662.50,182.70,723.04,78.58,25.00
7,1801,2100,700010,1659.80,1813.50,153.70,722.72,49.63,25.00
7,1801,2100,700011,1839.80,1970.50,130.70,722.72,26.63,25.00
8,2101,2400,700012,2019.80,2143.40,123.60,723.40,19.43,25.00
