统计时段,起始时间(s),结束时间(s),车辆ID,检测起始时间(s),检测结束时间(s),行程时间(s),行程距离(m),延误(s),期望速度(km/h)
1,1,300,700001,180.80,243.90,63.10,191.21,35.57,25.00
2,301,600,700002,335.80,398.90,63.10,191.21,35.57,25.00
2,301,600,700003,543.50,571.10,27.60,191.21,0.07,25.00
3,601,900,700004,694.50,722.10,27.60,191.21,0.07,25.00
3,601,900,700005,851.60,879.20,27.60,191.21,0.07,25.00
4,901,1200,700006,1110.80,1173.90,63.10,191.21,35.57,25.00
5,1201,1500,700007,1267.40,1328.90,61.50,191.21,33.97,25.00
5,1201,1500,700008,1421.40,1483.90,62.50,191.13,34.98,25.00
6,1501,1800,700009,1628.50,1656.10,27.60,191.21,0.07,25.00
7,1801,2100,700010,1779.50,1807.10,27.60,191.21,0.07,25.00
7,1801,2100,700011,1936.50,1964.10,27.60,191.21,0.07,25.00
8,2101,2400,700012,2109.40,2137.00,27.60,191.21,0.07,25.00
